protein_id	group_id
A0A009IHW8	UniRef50_A0A009IHW8
A0A023FBW4	UniRef50_A0A023FBW4
A0A023FBW7	UniRef50_A0A023FDY8
A0A023FDY8	UniRef50_A0A023FDY8
A0A023FF81	UniRef50_A0A023FBW4
A0A023FFB5	UniRef50_A0A023FFB5
A0A023FFD0	UniRef50_A0A023FFD0
A0A023FT45	UniRef50_A0A023FT45
A0A023G6B6	UniRef50_A0A023G6B6
A0A023G9N9	UniRef50_A0A023G6B6
A0A023GS28	UniRef50_W5QJZ5
A0A023GS29	UniRef50_W5QJZ5
A0A023I7E1	UniRef50_A0A023I7E1
A0A024B7W1	UniRef50_P06935
A0A024RBG1	UniRef50_Q9NZJ9
A0A024SC78	UniRef50_A8QPD8
A0A026W182	UniRef50_E2BJ30
A0A044RE18	UniRef50_A0A044RE18
A0A059TC02	UniRef50_A0A059TC02
A0A060A682	UniRef50_A0A060A682
A0A060D764	UniRef50_A0A060D764
A0A060KY90	UniRef50_A0A060KY90
A0A060L102	UniRef50_A0A1I9R3Y6
A0A060L4I9	UniRef50_A0A060L4I9
A0A060LAL9	UniRef50_A0A060LAL9
A0A060WQA3	UniRef50_P83371
A0A060X6Z0	UniRef50_A0A060X6Z0
A0A061ACU2	UniRef50_A0A061ACU2
A0A061AE05	UniRef50_A0A061AE05
A0A061I403	UniRef50_A0A061I403
A0A061IR73	UniRef50_Q13608
A0A067DE75	UniRef50_A0A067DE75
A0A067DFU5	UniRef50_A0A067DFU5
A0A067DT54	UniRef50_P0DXH4
A0A067E1K2	UniRef50_P0DXH4
A0A067E3D8	UniRef50_A0A067E3D8
A0A067ECN5	UniRef50_Q2XPU7
A0A067ELB0	UniRef50_A0A067ELB0
A0A067XH53	UniRef50_A0A067XH53
A0A067XMV4	UniRef50_A0A067XMV4
A0A067XR63	UniRef50_A0A067XR63
A0A067YMX8	UniRef50_A0A067YMX8
A0A068BGA5	UniRef50_Q5H873
A0A068BIF1	UniRef50_P0DO25
A0A068CNX1	UniRef50_A0A0F7G352
A0A068FIK2	UniRef50_A0A068FIK2
A0A069AMK2	UniRef50_A0A069AMK2
A0A072TH68	UniRef50_G7LCV1
A0A072TK64	UniRef50_A0A072ULZ1
A0A072TLV8	UniRef50_A0A072TLV8
A0A072U307	UniRef50_A0A072U307
A0A072ULZ1	UniRef50_A0A072ULZ1
A0A072UR65	UniRef50_A0A072UR65
A0A072UTP9	UniRef50_A0A0F7G352
A0A072V9Z0	UniRef50_A0A072V9Z0
A0A072VDF2	UniRef50_A0A072VDF2
A0A072VEP0	UniRef50_A0A1B1J8Z2
A0A072VHJ1	UniRef50_A0A072VHJ1
A0A072VIM5	UniRef50_Q9ZVC2
A0A072VPZ8	UniRef50_O49482
A0A075B6N1	UniRef50_P0DSE2
A0A075B6Q5	UniRef50_A0A075B6Q5
